plate_well,primer_combi
GF_plate1_COL_1&2_L7,m707m63
GF_plate1_COL_1&2_M7,m707m74
GF_plate1_COL_1&2_N7,m707m75
GF_plate1_COL_1&2_O7,m707m86
GF_plate1_COL_1&2_P7,m707m87
GF_plate1_COL_1&2_A8,m710m2
GF_plate1_COL_1&2_B8,m710m3
GF_plate1_COL_1&2_C8,m710m14
GF_plate1_COL_1&2_D8,m710m15
GF_plate1_COL_1&2_E8,m710m26
GF_plate1_COL_1&2_F8,m710m27
GF_plate1_COL_1&2_G8,m710m38
GF_plate1_COL_1&2_H8,m710m39
GF_plate1_COL_1&2_I8,m710m50
GF_plate1_COL_1&2_J8,m710m51
GF_plate1_COL_1&2_K8,m710m62
GF_plate1_COL_1&2_L8,m710m63
GF_plate1_COL_1&2_M8,m710m74
GF_plate1_COL_1&2_N8,m710m75
GF_plate1_COL_1&2_O8,m710m86
GF_plate1_COL_1&2_P8,m710m87
GF_plate1_COL_1&2_A9,m711m2
GF_plate1_COL_1&2_B9,m711m3
GF_plate1_COL_1&2_C9,m711m14
GF_plate1_COL_1&2_D9,m711m15
GF_plate1_COL_1&2_E9,m711m26
GF_plate1_COL_1&2_F9,m711m27
GF_plate1_COL_1&2_G9,m711m38
GF_plate1_COL_1&2_H9,m711m39
GF_plate1_COL_1&2_I9,m711m50
GF_plate1_COL_1&2_J9,m711m51
GF_plate1_COL_1&2_K9,m711m62
GF_plate1_COL_1&2_L9,m711m63
GF_plate1_COL_1&2_M9,m711m74
GF_plate1_COL_1&2_N9,m711m75
GF_plate1_COL_1&2_O9,m711m86
GF_plate1_COL_1&2_P9,m711m87
GF_plate1_COL_1&2_A10,m712m2
GF_plate1_COL_1&2_B10,m712m3
GF_plate1_COL_1&2_C10,m712m14
GF_plate1_COL_1&2_D10,m712m15
GF_plate1_COL_1&2_E10,m712m26
GF_plate1_COL_1&2_F10,m712m27
GF_plate1_COL_1&2_G10,m712m38
GF_plate1_COL_1&2_H10,m712m39
GF_plate1_COL_1&2_I10,m712m50
GF_plate1_COL_1&2_J10,m712m51
GF_plate1_COL_1&2_K10,m712m62
GF_plate1_COL_1&2_L10,m712m63
GF_plate1_COL_1&2_M10,m712m74
GF_plate1_COL_1&2_N10,m712m75
GF_plate1_COL_1&2_O10,m712m86
GF_plate1_COL_1&2_P10,m712m87
GF_plate1_COL_1&2_A11,m714m2
GF_plate1_COL_1&2_B11,m714m3
GF_plate1_COL_1&2_C11,m714m14
GF_plate1_COL_1&2_D11,m714m15
GF_plate1_COL_1&2_E11,m714m26
GF_plate1_COL_1&2_F11,m714m27
GF_plate1_COL_1&2_G11,m714m38
GF_plate1_COL_1&2_H11,m714m39
GF_plate1_COL_1&2_I11,m714m50
GF_plate1_COL_1&2_J11,m714m51
GF_plate1_COL_1&2_K11,m714m62
GF_plate1_COL_1&2_L11,m714m63
GF_plate1_COL_1&2_M11,m714m74
GF_plate1_COL_1&2_N11,m714m75
GF_plate1_COL_1&2_O11,m714m86
GF_plate1_COL_1&2_P11,m714m87
GF_plate1_COL_1&2_A12,m715m2
GF_plate1_COL_1&2_B12,m715m3
GF_plate1_COL_1&2_C12,m715m14
GF_plate1_COL_1&2_D12,m715m15
GF_plate1_COL_1&2_E12,m715m26
GF_plate1_COL_1&2_F12,m715m27
GF_plate1_COL_1&2_G12,m715m38
GF_plate1_COL_1&2_H12,m715m39
GF_plate1_COL_1&2_I12,m715m50
GF_plate1_COL_1&2_J12,m715m51
GF_plate1_COL_1&2_K12,m715m62
GF_plate1_COL_1&2_L12,m715m63
GF_plate1_COL_1&2_M12,m715m74
GF_plate1_COL_1&2_N12,m715m75
GF_plate1_COL_1&2_O12,m715m86
